id;carg_nro_registros;carg_json;carg_entidad;carg_nombre_archivo;carg_estado;carg_tipo;carg_es_reproceso;carg_hash;usuario_creacion;fecha_creacion;usuario_modificacion;fecha_modificacion
1;48492;value-added Genérico Pakistan;69312;BCEAO;UAE Agente;interface parsing;2201;Krone invoice;distributed Gris Montserrat;2021-06-30T11:45:31;mesh capacidad Gerente;2021-06-30T08:32:03
2;22314;multi-byte;12631;Algodón Calidad;dynamic Puente Bricolaje;Heredado Peso;5709;Colonia;Castilla-La;2021-06-30T02:57:36;JBOD Azul encriptar;2021-06-30T15:34:12
3;72212;Guapo sticky bandwidth;79710;Granito;Kuwait Pública;invoice;40348;aggregate;Granito;2021-06-30T07:06:47;Avon pixel Galicia;2021-06-29T23:00:46
4;84691;bus de Región;36786;Buckinghamshire invoice Bedfordshire;Clonado en calculating;enterprise Metal;77293;Ingeniero Bedfordshire Faro;Hormigon Algodón;2021-06-30T10:53:36;direccional;2021-06-30T17:54:32
5;93339;deposit;26137;Comodos;Madera quantifying Coordinador;local;34452;Atún Soluciones Card;bandwidth Agente;2021-06-30T07:22:02;Teclado Extremadura;2021-06-30T07:42:42
6;31198;Peso;19084;enhance Berkshire objetos;Finlandia;Inteligente Calle;53370;Gris Pound;circuit Gestionado;2021-06-30T10:51:28;Guapo Camiseta sensor;2021-06-30T06:31:53
7;65012;Extrarradio;99983;núcleo;Sabroso Sorprendente;Lugar;64138;hard;Representante Buckinghamshire BCEAO;2021-06-30T00:39:51;schemas Tugrik;2021-06-30T12:21:57
8;71436;virtual instrucciones metódica;26591;quantify;Sopa Productor;withdrawal;11919;Rústico mobile optical;Glorieta leading-edge;2021-06-30T10:53:54;Corporativo Pollo;2021-06-30T07:49:35
9;21279;SAS reboot Ladrillo;94544;navigate Market Ergonómico;Infraestructura Marroquinería matrix;Rústico;57547;reboot;bypass;2021-06-29T22:12:36;Operaciones auxiliary;2021-06-30T01:15:12
10;92211;Berkshire;98627;Blanco Analista Angola;deposit evolve;Riyal Heredado;65968;Diseñador;Bielorusia Bajada Account;2021-06-30T01:00:56;bluetooth metrics;2021-06-30T09:16:13
