id;nombre;descripcion;pasto;area
1;payment;Rojo modular Loan;Ladrillo;16140
2;Rústico;portals virtual;Librería Account;54855
3;transicional Fantástico;Creativo;parsing niches;16750
4;generating TCP;Camino back-end;Guapo Calidad;78854
5;Administrador Creativo Metal;Paradigma;virtual Queso;94162
6;JSON array Decoración;pixel;Coordinador alarm Morado;64013
7;open-source;Queso;interface matrix;13485
8;Relacciones Consultor Artesanal;compressing;harness strategize;70911
9;integrated Dinánmico;input experiences connect;Cantabria;58047
10;Solar bluetooth;y Región Cantabria;facilitate;22829
